Site,Longitude,Latitude,C14Age,C14Error,AgeCalBP,LabID,Database,Reference,Comment
Lapa do Boquete (MG-JF-12),-44.2166,-15.1166,3430,70,3691,,,"Freitas, F de O. 2001. “Estudo Genético-Evolutivo de Amostras Modernas e Arqueológicas de Milho (Zea Mays Mays, L.) e Feijão (Phaseolus Vulgaris, L.).” Sao Paulo: Universidade de Sao Paulo.",Phaseolus sp.
Hallur,75.616667,14.333333,3435,40,3688,BA-05777,,"Vishnu-Mittre. 1971. Ancient Plant Economy at Hallur, in Protohistoric Cultures of the Tungabhadra Valley (Hallur Excavations) (M.S. Nagaraja Rao), pp. 1-9. Dharwar: Published by Author; Kajale, M.D. 1989a. Palaeobotanical Findings from Excavations at Hallur (Second Season), District Dharwar, Karnataka, Bulletin of the Deccan College Post-Graduate and Research Institute 47-8: 123-8; Fuller, D.Q. & Harvey, E.L. 2006. The archaeobotany of Indian pulses: identification, processing and evidence for cultivation. Enviromental Archaeology 11(2). Pp. 219-246.","Setaria sp., Oryza sp., Lablab purpureus, Macrotyloma uniflorum"
El Carmen,-90,13.72,3430,90,3684,B-29795,,"Blake, M., Clark, J. E., Voorhies, B., Michaels, G., Love, M. W., Pye, M. E., Demarest, A. A., & Arroyo, B. (1995). Radiocarbon Chronology for the Late Archaic and Formative Periods on the Pacific Coast of Southeastern Mesoamerica. Ancient Mesoamerica, 6, 161–183. https://doi.org/10.1017/S0956536100002169",Formative (Mesoamerica)
Ounjougou,-2.48333,14.4,,,3675,,,"Fuller, D. Q., Barron, A., Champion, L., Dupuy, C., Commelin, D., Raimbault, M., & Denham, T. (2021). Transition From Wild to Domesticated Pearl Millet (Pennisetum glaucum) Revealed in Ceramic Temper at Three Middle Holocene Sites in Northern Mali. African Archaeological Review, 38(2), 211–230. https://doi.org/10.1007/s10437-021-09428-8",Pennisetum glaucum
Dangwada,75.55175,23.1167,3400,150,3660,PRL-690,,"Vishnu-Mittre, A. Sharma and Chanchal a Srivastava 1984. Palaeobotanical and Pollen Analytical Investigations, Indian Archaeology 1981-82-A Review: 105-6; Mahapatra, S.K. (ed.) 1995. Indian Archaeology 1990-91. A Review. New Delhi: Archaeological Survey of India.","Vigna sp., Lens esculenta, Triticum sp., Oryza sativa, Panicum sp."
Khok Phanom Di,101.14089,13.58457,,,3650,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Zigan Shanxi,110.231806,36.221478,,,3650,,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria"
Becov,12.8393,50.0843,3395,80,3638,Bln 553,EUROEVOL (Manning et al. 2016),"Manning, K., Colledge, S., Crema, E. R., Shennan, S., & Timpson, A. (2016). The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. Journal of Open Archaeology Data, 5, e2.",Neolithic
Haimenkou Yunnan,99.918363,26.462143,3380,25,3635,BA-,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria"
Gantuoyan,105.8434991,23.4126482,3365,50,3635,DY-1014,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria, Panicum"
B5C,-1.93448,7.852497,,,3615,,,"Fuller, D. Q., Barron, A., Champion, L., Dupuy, C., Commelin, D., Raimbault, M., & Denham, T. (2021). Transition From Wild to Domesticated Pearl Millet (Pennisetum glaucum) Revealed in Ceramic Temper at Three Middle Holocene Sites in Northern Mali. African Archaeological Review, 38(2), 211–230. https://doi.org/10.1007/s10437-021-09428-8",Pennisetum glaucum
D_guesse,14.87,12.05,3350,270,3612,,Russel et al. (2014),"Russell, T., Silva, F., & Steele, J. (2014). Modelling the spread of farming in the Bantu-speaking regions of Africa: an archaeology-based phylogeography. PLoS One, 9(1), e87854.",Bantu
Dông Dâu,105.62976,21.22387,,,3610,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Djiganyai,-7.26936,16.3223,3370,40,3603,GX-29359-AMS,,"MacDonald, K. C., Vernet, R., Martinón-Torres, M., & Fuller, D. Q. (2009). Dhar Néma: from early agriculture to metallurgy in southeastern Mauritania. Azania: Archaeological Research in Africa, 44(1), 3–48. https://doi.org/10.1080/00671990902811330",Pennisetum glaucum
Ouled Zouaï,6.6,36.35,3330,110,3570,MC-208,MedAfriCarbon (Lucarini et al. 2020),"Lucarini, G., Wilkinson, T., Crema, E. R., Palombini, A., Bevan, A., & Broodbank, C. (2020). The MedAfriCarbon Radiocarbon Database and Web Application. Archaeological Dynamics in Mediterranean Africa, ca. 9600–700 BC. Journal of Open Archaeology Data, 8. https://doi.org/10.5334/joad.60",Neolithic (Africa)
Rach Nui,106.672517,10.539017,,,3565,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Tuljapur Garhi,77.583333,21.166667,3310,90,3543,,,"Kajale, M.D. 1988. Ancient Plant Economy at Chalcolithic Tuijapur Garhi, District Amraoti, Maharashtra, Current Science 57: 377-9; Kajale, M.D. 1996. Palaeobotanical Investigations on Chalcolithic Tuljapur Garhi, in Excavations at Tuljapur Garhi 1984-1985 (Vidarbha, Mahrashtra) (B.P. Bopardikar Ed.), pp. 47-61. New Delhi: Memoirs of the Archaeological Survey of India 95.","Hordeum sp., Oryza sp., Sorghum sp., Triticum sp., Lens sp., Macrotyloma sp., Vigna radiata"
Puerto Escondido,-88.926262,14.894574,3320,40,3534,Beta-129129,,"Joyce, R. A., & Henderson, J. S. (2001). Beginnings of Village Life in Eastern Mesoamerica. Latin American Antiquity, 12(1), 5–23. https://doi.org/10.2307/971754",Formative (Mesoamerica)
Pintu Cave,121.79,16.37,3290,230,3531,Gak-2942,Spriggs (1989),"Spriggs, M. (1989). The dating of the Island Southeast Asian Neolithic: an attempt at chronometric hygiene and linguistic correlation. Antiquity, 63(240), 587–613. https://doi.org/10.1017/S0003598X00076560",Neolithic (Southeast Asia)
Boa Esperança,-64.7486,-2.41,3320,30,3529,Beta-321193,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Couro Velho,-61.1514,-4.6465,3350,30,3528,Beta-488810,,"Gonda, R. (2018) Pre-Columbian land use and its modern legacy in the Purus-Madeira Interfluve, Central Amazonia. PhD Thesis, University of Exeter.",Cucurbita sp.
Nakapapula,30.62,-12.82,3280,90,3511,,Russel et al. (2014),"Russell, T., Silva, F., & Steele, J. (2014). Modelling the spread of farming in the Bantu-speaking regions of Africa: an archaeology-based phylogeography. PLoS One, 9(1), e87854.",Bantu
Boa Vista,-56.3995,-1.4614,3280,45,3500,PN-1752,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Samrong Sen,104.84507,12.34343,,,3500,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Ojiyana,74.20754,25.54123,,,3500,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Anhui Hanshan,118.364960440229,31.6385165367333,3270,75,3496,WB81-31,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Oryza sativa
Ojakly,62.3255134712581,38.1506026962055,3270,25,3479,OS-92543,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Hordeum sp.
Veerapuram,78.25,16,3240,140,3466,PRL-730,,"Kajale, M.D. 1984. New Light on Agricultural Plant Economy During 1st Millennium sc: Palaeobotanical Study of Plant Remains from Excavations at Veerapuram, District Kurnool, Andhra Pradesh, in Veerapuram: a Type Site for Cultural Study in the Krishna Valley (T.V.G. Sastri, M. Kasturibai and J. Vara Prasada Rao (Eds.), Appendix B. Hyderabad: Birla Archaeological and Cultural Research Institute; Nagaraja Rao, M.S. (ed.) 1985. Indian Archaeology 1982-83. A Review. New Delhi: Archaeological Survey of India. ","Hordeum sp., Oryza sp., Lablab sp., Macrotyloma sp., Pisum sp., Vigna radiata"
Bosumpra cave,-0.74691,6.697998,,,3450,,,"Fuller, D. Q., Barron, A., Champion, L., Dupuy, C., Commelin, D., Raimbault, M., & Denham, T. (2021). Transition From Wild to Domesticated Pearl Millet (Pennisetum glaucum) Revealed in Ceramic Temper at Three Middle Holocene Sites in Northern Mali. African Archaeological Review, 38(2), 211–230. https://doi.org/10.1007/s10437-021-09428-8",Pennisetum glaucum
La Esmeralda,-53.66,-34.12,3210,50,3425,URU-219,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Dadunzi,101.8821,25.71283,,,3425,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
DACA Manso II NMSU 1385,-106.832949067951,32.3528325822813,3180,50,3401,Beta-81908,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Zea mays
Ti-n-Akof,-0.14346,14.96388,,,3400,,,"Fuller, D. Q., Barron, A., Champion, L., Dupuy, C., Commelin, D., Raimbault, M., & Denham, T. (2021). Transition From Wild to Domesticated Pearl Millet (Pennisetum glaucum) Revealed in Ceramic Temper at Three Middle Holocene Sites in Northern Mali. African Archaeological Review, 38(2), 211–230. https://doi.org/10.1007/s10437-021-09428-8",Pennisetum glaucum
Niah Caves,113.78,3.78,3175,105,3386,GX-1428,Spriggs (1989),"Spriggs, M. (1989). The dating of the Island Southeast Asian Neolithic: an attempt at chronometric hygiene and linguistic correlation. Antiquity, 63(240), 587–613. https://doi.org/10.1017/S0003598X00076560",Neolithic (Southeast Asia)
Wupaer,77.2246475244195,38.1847131954047,3155,39,3381,OZL441,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Triticum sp.
Kunal,74.1555009963867,31.0515551863294,3150,30,3378,Beta-422013,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Triticum sp.
San Luis de Cabezon,-107.1,35.7,,,3361, Beta-402782,Ancient Maize Map (Blake et al. 2012),"Blake, M., B. Benz, N. Jakobsen, R. Wallace, S. Formosa, K. Supernant, D. Moreiras and A. Wong (2012) Ancient Maize Map, Version 1.1: An Online Database and Mapping Program for Studying the Archaeology of Maize in the Americas. http://en.ancientmaize.com/. Laboratory of Archaeology, University of B.C., Vancouver.",Zea mays
Mubuga V,30.02,-3.4,3160,145,3361,,Russel et al. (2014),"Russell, T., Silva, F., & Steele, J. (2014). Modelling the spread of farming in the Bantu-speaking regions of Africa: an archaeology-based phylogeography. PLoS One, 9(1), e87854.",Bantu
Cerro Juanaqueña,-108.1,30.9,,,3354, NSRL-12484,Ancient Maize Map (Blake et al. 2012),"Blake, M., B. Benz, N. Jakobsen, R. Wallace, S. Formosa, K. Supernant, D. Moreiras and A. Wong (2012) Ancient Maize Map, Version 1.1: An Online Database and Mapping Program for Studying the Archaeology of Maize in the Americas. http://en.ancientmaize.com/. Laboratory of Archaeology, University of B.C., Vancouver.",Zea mays
Changguogou,91.0886508866281,30.0375452251756,3122,29,3346,OxA-30942,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Triticum sp.
Kwelikwiji,37.55,-6.1,3130,60,3343,,Russel et al. (2014),"Russell, T., Silva, F., & Steele, J. (2014). Modelling the spread of farming in the Bantu-speaking regions of Africa: an archaeology-based phylogeography. PLoS One, 9(1), e87854.",Bantu
Tawendaliha,94.5628728204851,36.6816446939307,3110,30,3328,Beta-324460,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Hordeum sp.
Pandu Rajar Dhibi,87.65,23.916667,3130,110,3326,PRL-1184,,"Vishnu-Mittre. 1968. Protohistoric Records of Agriculture in India, Transactions of the Bose Research Institute 31 (3): 87-106; Mahapatra, S.K. (ed.) 1995. Indian Archaeology 1990-91. A Review. New Delhi: Archaeological Survey of India.","Oryza sp., Triticum sp."
Dadunzi Yunnan,87.357,42.0808099,3119,90,3320,ZK-0229,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria, Panicum"
Ban Non Wat,102.27736,15.26668,,,3300,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Sidaogou,88.6092646913684,44.3431815017625,3080,60,3283,OZK665,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Triticum sp.
Lagalamaerma,100.310214457941,37.7447185795505,3060,30,3276,Beta-324457,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Hordeum sp.
High Rolls Cave,-105.741475813957,32.613257006291,3050,40,3260,Beta-164063,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Zea mays
Gopalpur,84.905691,19.258115,3035,31,3241,OxA-14128,,"Fuller, Dorian Q., and E. I. Harvey. 2006. “The Archaeobotany of Indian Pulses: Identification, Processing and Evidence for Cultivation.” Environmental Archaeology2 11 (2): 219–46.",Cajanus cajan
Yunnan Qujing,103.93816419494,25.7044262607255,3036,54,3238,ZK-3105,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Oryza sativa
Mai Chiot,38.96,15.3,3030,40,3233,,,"D’Andrea, A.C., D. Lyons, M. Haile & A. Butler, 1999: Ethnoarchaeological approaches to the study of prehistoric agriculture in the Ethiopian highlands. In: M. van der Veen (ed.), Plants and people in Africa: Recent archaeobotanical evidence. New York, 101-122.","Barley, flax, lentils, tef"
Velpumudugu,77.206091,15.050817,3029,35,3232,R-28680/24,,"Fuller, Dorian Q., and E. I. Harvey. 2006. “The Archaeobotany of Indian Pulses: Identification, Processing and Evidence for Cultivation.” Environmental Archaeology2 11 (2): 219–46.",Macrotyloma uniflorum
Praia do Pepino,-52.2199,-3.2261,3020,30,3218,Beta-324197,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Ourilândia 2,-51.0749,-6.7614,3010,70,3196,Beta-236417,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
La Playa,-110.7,30.3,,,3195, Not Avail. C,Ancient Maize Map (Blake et al. 2012),"Blake, M., B. Benz, N. Jakobsen, R. Wallace, S. Formosa, K. Supernant, D. Moreiras and A. Wong (2012) Ancient Maize Map, Version 1.1: An Online Database and Mapping Program for Studying the Archaeology of Maize in the Americas. http://en.ancientmaize.com/. Laboratory of Archaeology, University of B.C., Vancouver.",Zea mays
Sanjai Valley: CANU42,86.021,22.675,,,3170,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Eagles Watch,-111.887923567079,37.2852478679878,2980,30,3155,Beta-360453,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Zea mays
Pakhanna (Bhairabdanga ),87.35472,23.42182,,,3150,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Kumadzulo,25.53,-17.62,2970,105,3134,,Russel et al. (2014),"Russell, T., Silva, F., & Steele, J. (2014). Modelling the spread of farming in the Bantu-speaking regions of Africa: an archaeology-based phylogeography. PLoS One, 9(1), e87854.",Bantu
Bato Cave 2,124.01,12.98,2962,200,3126,M-728,Spriggs (1989),"Spriggs, M. (1989). The dating of the Island Southeast Asian Neolithic: an attempt at chronometric hygiene and linguistic correlation. Antiquity, 63(240), 587–613. https://doi.org/10.1017/S0003598X00076560",Neolithic (Southeast Asia)
Laguna Zoncho,-83,8.8,,,3105, Beta-115186 ,Ancient Maize Map (Blake et al. 2012),"Blake, M., B. Benz, N. Jakobsen, R. Wallace, S. Formosa, K. Supernant, D. Moreiras and A. Wong (2012) Ancient Maize Map, Version 1.1: An Online Database and Mapping Program for Studying the Archaeology of Maize in the Americas. http://en.ancientmaize.com/. Laboratory of Archaeology, University of B.C., Vancouver.",Zea mays
Shifodong,121.02576,28.38818,,,3100,,Stevens and Fuller (2017),"Stevens, C. J., & Fuller, D. Q. (2017). The spread of agriculture in eastern Asia. Language Dynamics and Change, 7(2), 152–186. https://doi.org/10.1163/22105832-00702001","Oryza, Setaria"
Gajiganna,13.28911,12.26081,,,3100,,,"Fuller, D. Q., Barron, A., Champion, L., Dupuy, C., Commelin, D., Raimbault, M., & Denham, T. (2021). Transition From Wild to Domesticated Pearl Millet (Pennisetum glaucum) Revealed in Ceramic Temper at Three Middle Holocene Sites in Northern Mali. African Archaeological Review, 38(2), 211–230. https://doi.org/10.1007/s10437-021-09428-8",Pennisetum glaucum
Mescal Wash,-110.846694147403,31.5261020209154,2940,40,3096,Beta-206382,p3k14c (Bird et al. 2022),"Bird, D., Miranda, L., vander Linden, M., Robinson, E., Bocinsky, R. K., Nicholson, C., Capriles, J. M., Finley, J. B., Gayo, E. M., Gil, A., d’Alpoim Guedes, J., Hoggarth, J. A., Kay, A., Loftus, E., Lombardo, U., Mackie, M., Palmisano, A., Solheim, S., Kelly, R. L., & Freeman, J. (2022). p3k14c, a synthetic global database of archaeological radiocarbon dates. Scientific Data, 9(1), 27. https://doi.org/10.1038/s41597-022-01118-7",Zea mays
Castanheira,-48.7336,-0.8172,2930,200,3092,SI-385,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Pedra Oca,-38.4757,-12.8735,2915,130,3070,SI-470,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
Quebrada del Real 1,-64.8533,-31.6136,2950,90,3062,LP-2042,,"López, M. L. (2018). Archaeobotany in central Argentina: macro-and microscopic remains at several archaeological sites from early Late Holocene to early colonial times (3,000–250 bp). Vegetation history and archaeobotany, 27(1), 219-228.","Zea mays, chenopodium spp."
Phu Lon,102.07045,18.19871,,,3050,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Namgyong,125.92694,39.06611,,,3040,,Silva et al. (2015),"Silva, F., Stevens, C. J., Weisskopf, A., Castillo, C., Qin, L., Bevan, A., & Fuller, D. Q. (2015). Modelling the Geographical Origin of Rice Cultivation in Asia Using the Rice Archaeological Database. PLOS ONE, 10(9), e0137024. https://doi.org/10.1371/journal.pone.0137024",Oryza sativa
Saladero,-62.2009,8.6817,2880,130,3031,Y-42,EXPAND (de Souza et al. 2020),"de Souza, J. G., Alcaina Mateos, J., & Madella, M. (2020). Archaeological expansions in tropical South America during the late Holocene: Assessing the role of demic diffusion. PLOS ONE, 15(4), e0232367. https://doi.org/10.1371/journal.pone.0232367",Formative (Lowland South America)
